country,year,sector,VA,H,VA_Q
PT,2005.0,prs,41734.8,2574321.0,42704.04866999565
PT,2006.0,prs,44570.9,2631200.0,44543.808695562904
PT,2007.0,prs,47888.9,2688362.0,46712.85527591031
PT,2008.0,prs,50307.100000000006,2739234.0,48006.82404181006
PT,2009.0,prs,49063.6,2723054.0,47763.63842791873
PT,2010.0,prs,48248.399999999994,2721464.0,48178.996913532756
PT,2011.0,prs,48859.8,2646715.0,48433.975680708914
PT,2012.0,prs,46284.3,2522334.0,46427.20893844799
PT,2013.0,prs,45903.399999999994,2475252.0,46711.4784483251
PT,2014.0,prs,46519.7,2600990.0,47333.45817704186
PT,2015.0,prs,47617.7,2673557.0,47617.7
PT,2016.0,prs,49173.8,2754495.0,49053.9
PT,2017.0,prs,50749.3,2849755.0,50411.606708902225
PT,2018.0,prs,52776.899999999994,2932372.0,52053.586676803636
PT,2019.0,prs,55914.4,2978707.0,54173.6127840913
PT,1970.0,ser,1257.8148834382073,3886057.878708915,32993.721398252026
PT,1971.0,ser,1404.639992756372,3957490.780778881,35723.57585515067
PT,1972.0,ser,1618.2064392101265,4030542.003120278,38901.79744816843
PT,1973.0,ser,1929.3645107222826,4111009.255185802,42985.882857731674
PT,1974.0,ser,2235.112513197677,3935951.450392717,43518.5229421514
PT,1975.0,ser,2580.799689770104,4094278.095040554,44203.998244519185
PT,1976.0,ser,3160.0406245244485,4145675.4599931235,49578.63568098478
PT,1977.0,ser,4073.1892154444417,4331405.019884406,52329.54099029212
PT,1978.0,ser,5040.503584108315,4337343.768804689,54013.62888942552
PT,1979.0,ser,5716.053810742445,4446173.431433091,55748.01294082584
PT,1980.0,ser,6651.590857818451,4533528.6500478145,58944.13749759284
PT,1981.0,ser,7692.613670111238,4615792.052208273,60631.57991477249
PT,1982.0,ser,9052.705340065053,4582753.668390169,62157.11100485739
PT,1983.0,ser,10672.85423616948,4560731.580817964,63176.29950599397
PT,1984.0,ser,12261.287667100238,4508585.08812724,62857.9652829598
PT,1985.0,ser,14679.242733932031,4492117.822981416,64552.80432811602
PT,1986.0,ser,17085.59788946671,4575593.227854198,66580.90263046234
PT,1987.0,ser,19820.01536967005,4670901.6421899535,69756.91126990377
PT,1988.0,ser,23174.17994230797,3960804.79719621,72009.28141579672
PT,1989.0,ser,27686.845909707274,4151393.78827276,76175.35049873576
PT,1990.0,ser,32909.47428973282,4439830.29441492,80411.40757308231
PT,1991.0,ser,38521.31182819928,4458747.927543821,84841.66549851283
PT,1992.0,ser,42420.12188733226,4601432.93664243,87863.62784101843
PT,1993.0,ser,45875.24639326641,4580696.004140895,87926.99348616043
PT,1994.0,ser,48422.00401157998,4545409.022267824,86738.88933360105
PT,1995.0,ser,52086.8,4634583.0,89192.07722076465
PT,1996.0,ser,54542.7,4714431.0,89898.93012536618
PT,1997.0,ser,59811.09999999999,4836078.0,93417.59503171533
PT,1998.0,ser,65197.8,5071874.0,97163.96358272426
PT,1999.0,ser,70548.3,5208143.0,100450.0788850482
PT,2000.0,ser,77116.09999999999,5321992.0,104594.78839218756
PT,2001.0,ser,82297.1,5461462.0,106979.25726268071
PT,2002.0,ser,87344.0,5558223.0,108322.81664125343
PT,2003.0,ser,90806.8,5590339.0,107896.79647422177
PT,2004.0,ser,95327.8,5714630.0,109629.84878295439
PT,2005.0,ser,99929.7,5811320.0,111528.47311695594
PT,2006.0,ser,104655.9,5896672.0,113619.37504260177
PT,2007.0,ser,111539.0,6002685.0,117261.63785846902
PT,2008.0,ser,116128.6,6092905.0,119147.6427128597
PT,2009.0,ser,117292.20000000001,6076079.0,118477.23577323538
PT,2010.0,ser,118659.0,6101072.0,120439.52422815042
PT,2011.0,ser,116833.1,5960083.0,119446.13552512159
PT,2012.0,ser,111809.7,5733869.0,116416.84114579998
PT,2013.0,ser,114061.30000000002,5649505.0,115988.90712446895
PT,2014.0,ser,114772.5,5844255.0,116305.47495245651
PT,2015.0,ser,117764.6,5967522.0,117764.6
PT,2016.0,ser,122096.1,6138787.0,119951.0
PT,2017.0,ser,128075.7,6327844.0,123617.30883198853
PT,2018.0,ser,133688.0,6518411.0,126485.55003443237
PT,2019.0,ser,140686.30000000002,6644349.0,130288.67274805332
PT,1970.0,tot,2003.5361579444623,9428140.581603426,52125.281321512804
PT,1971.0,tot,2238.913889570629,9474102.847595401,55704.44298727522
PT,1972.0,tot,2574.4333859812027,9484562.540547308,59609.5407598276
PT,1973.0,tot,3084.237942272849,9480231.87663394,66193.38265092186
PT,1974.0,tot,3639.8372632872,10543408.393644555,67315.6166650538
PT,1975.0,tot,4072.2494275117983,10681733.304410953,64274.495505405284
PT,1976.0,tot,4909.451034010238,10784942.405818079,69021.80646899424
PT,1977.0,tot,6327.749757337002,10847803.73677429,73350.26793520649
PT,1978.0,tot,7845.876878883658,10660555.47192444,77318.67838460523
PT,1979.0,tot,9174.127299894726,10822049.46566753,81164.55688183564
PT,1980.0,tot,10816.848576151762,10717275.013216294,84319.02422711733
PT,1981.0,tot,12447.426086063942,10760136.739279332,85391.0442323503
PT,1982.0,tot,14781.357931761155,10466697.115962582,88123.72164365163
PT,1983.0,tot,17485.405620741272,10271127.09789265,88383.60081007876
PT,1984.0,tot,20571.926128120343,10021234.589926723,86973.99434171003
PT,1985.0,tot,24629.48542193666,9950591.818054153,89746.70724568673
PT,1986.0,tot,28794.17094145494,9708550.496972358,93442.96902516289
PT,1987.0,tot,33345.41456991281,9827280.549157675,98398.84654309791
PT,1988.0,tot,38438.481024571796,8845622.074660152,102443.77174123382
PT,1989.0,tot,44810.20772204907,9144458.647640089,108837.66032803745
PT,1990.0,tot,51948.729698830524,9243358.255745124,112749.69951250758
PT,1991.0,tot,59127.56351668112,9044316.672667267,118322.83036984128
PT,1992.0,tot,64446.345951510084,8811146.565824747,121569.98789675819
PT,1993.0,tot,68471.22977204964,8560594.007730713,120434.17228640354
PT,1994.0,tot,73040.3904765499,8452797.772148158,119317.67149067706
PT,1995.0,tot,78452.4,8594725.0,124009.707859211
PT,1996.0,tot,82876.4,8743594.0,127898.229833474
PT,1997.0,tot,90046.5,8948871.0,133430.284610034
PT,1998.0,tot,97354.8,9275077.0,138788.004011282
PT,1999.0,tot,104225.5,9427196.0,143422.881373687
PT,2000.0,tot,112521.7,9683203.0,148739.375918566
PT,2001.0,tot,119098.5,9767342.0,152057.144487811
PT,2002.0,tot,124721.5,9769343.0,153078.914978065
PT,2003.0,tot,127733.9,9639132.0,151816.937368909
PT,2004.0,tot,133145.0,9602129.0,154355.897986313
PT,2005.0,tot,137485.9,9568468.0,155120.808583717
PT,2006.0,tot,143562.1,9546495.0,157649.593486596
PT,2007.0,tot,152165.9,9634638.0,162119.524410476
PT,2008.0,tot,156157.9,9603284.0,163182.167313038
PT,2009.0,tot,155546.5,9343718.0,158946.228987663
PT,2010.0,tot,157970.7,9224524.0,161456.113347899
PT,2011.0,tot,154128.6,8935367.0,159830.725493967
PT,2012.0,tot,147214.9,8489840.0,154612.97694895
PT,2013.0,tot,149802.2,8291629.0,153658.926589507
