Variable,desc,code,_1947,_1948,_1949,_1950,_1951,_1952,_1953,_1954,_1955,_1956,_1957,_1958,_1959,_1960,_1961,_1962,_1963,_1964,_1965,_1966,_1967,_1968,_1969,_1970,_1971,_1972,_1973,_1974,_1975,_1976,_1977,_1978,_1979,_1980,_1981,_1982,_1983,_1984,_1985,_1986,_1987,_1988,_1989,_1990,_1991,_1992,_1993,_1994,_1995,_1996,_1997,_1998,_1999,_2000,_2001,_2002,_2003,_2004,_2005,_2006,_2007,_2008,_2009,_2010
GO,WHOLESALE AND RETAIL TRADE,G,49238.179000000004,51635.42999999999,52864.678,61094.743,65590.162,67311.173,69590.89499999999,72116.819,78935.57800000001,82977.51999999999,85873.22700000001,85463.401,94079.812,96034.865,97255.632,104299.97400000002,110472.71600000001,118290.231,132372.124,143476.051,145875.20500000002,153400.224,161408.03100000002,171178.793,182969.75199999998,202192.102,226605.63,254287.75400000002,270160.00800000003,282147.691,338424.18799999997,378450.696,425237.242,472364.71900000004,515854.27800000005,524910.465,545998.383,604248.7660000001,650803.828,728978.586,801588.258,866754.6950000001,914287.8670000001,952590.797,978136.2579999999,1028050.844,1077725.375,1191774.438,1244678.985,1313834.7820000001,1387519.704,1421987.406,1520903.751,1611493.1719999998,1595248.438,1670781.094,1723345.047,1862866.2820000001,1980627.672,2115772.626,2163244.188,2165184.126,1920558.4070000001,2241540.719
GO,"Sale, maintenance and repair of motor vehicles and motorcycles; retail sale of fuel",50,7343.47,8140.008,8140.003,9018.069,9643.408,10072.678,10580.485,10628.896,11464.801,11828.75,12526.453,12563.534,13711.304,14119.396,14122.854,15409.787,16347.931,17094.516,18439.311,19609.68,20008.244,21215.822,22199.508,23416.129,24994.002,27237.719,30286.801,32638.73,34643.742,33429.441,42668.672,47452.805,52532.383,57656.094,62105.684,64243.184,68600.836,72473.125,78448.328,93167.461,107386.227,113298.414,120834.773,127396.109,130271.664,137921.219,140487.406,163678.344,173430.047,181171.969,183829.016,179780.031,198308.063,197437.359,178652.563,200606.781,206615.922,217043.406,221518.734,234676.188,238299.875,216949.563,173081.344,232155.344
GO,"Wholesale trade and commission trade, except of motor vehicles and motorcycles",51,18012.797,17109.512,18347.318,22876.078,24815.977,24877.979,25209.48,27593.65,30788.191,33053.395,32979.641,32366.117,36482.336,36734.91,37795.715,39820.582,42421.711,47228.164,56099.227,62795.219,63891.824,66826.336,70998.789,75632.18,81465.422,91622.281,103577.766,121098.766,128945.844,145279.922,163538.813,184164.063,210342.875,235840.797,261331.875,261795.031,264370.813,305404.75,325567.406,340330.125,350937.5,393999.125,412894.375,426745.25,443196.0,464655.531,484134.281,533703.063,564272.875,596340.063,641210.438,650006.5,697372.188,750044.875,733358.75,762228.938,769987.5,842055.438,911270.563,978867.313,1013452.938,1057031.875,869999.75,1066521.875
GO,"Retail trade, except of motor vehicles and motorcycles; repair of household goods",52,23881.912,26385.91,26377.357,29200.596,31130.777,32360.516,33800.93,33894.273,36682.586,38095.375,40367.133,40533.75,43886.172,45180.559,45337.063,49069.605,51703.074,53967.551,57833.586,61071.152,61975.137,65358.066,68209.734,72130.484,76510.328,83332.102,92741.063,100550.258,106570.422,103438.328,132216.703,146833.828,162361.984,178867.828,192416.719,198872.25,213026.734,226370.891,246788.094,295481.0,343264.531,359457.156,380558.719,398449.438,404668.594,425474.094,453103.688,494393.031,506976.063,536322.75,562480.25,592200.875,625223.5,664010.938,683237.125,707945.375,746741.625,803767.438,847838.375,902229.125,911491.375,891202.688,877477.313,942863.5
GO,HOTELS AND RESTAURANTS,H,13542.234,13561.117,13248.73,13526.129,15375.649,16440.736,17066.742,17452.719,18055.463,18974.83,19917.438,19977.943,21038.428,21779.23,22084.441,23246.695,24222.594,25942.166,28636.145,31056.246,32775.141,36706.184,39816.766,44225.008,46158.875,52562.102,58182.266,64655.57,72612.125,82017.898,91523.469,104014.313,120005.281,131758.781,144502.781,153469.969,165098.156,175998.719,190121.797,200490.094,227175.25,245390.156,261283.375,278808.281,283880.469,296482.063,314270.719,331778.0,345903.563,362496.438,386244.25,412988.469,437876.813,475215.5,485676.469,508615.938,539421.75,583705.75,624794.5,670728.813,706586.125,720797.813,697157.313,720474.375
GO,TRANSPORT AND STORAGE AND COMMUNICATION,I,29193.470999999998,32263.297,33054.442,37037.31,41297.08,44311.647,47273.779,43082.184,47065.437999999995,49960.471,52305.746,51729.55499999999,56724.004,59153.43,60355.795,65921.54699999999,70256.328,75570.486,81901.291,88790.695,94493.254,102784.08600000001,114562.422,122355.144,131497.039,144655.695,161063.789,178006.797,185846.141,210930.024,243142.079,282685.672,320653.594,353045.813,393784.688,407128.90599999996,426077.5,457112.047,474526.875,493790.68700000003,517145.578,562292.219,591679.25,630778.5,636951.531,670370.375,707770.532,756716.562,810303.001,871764.9380000001,921061.5,978595.9380000001,1051788.376,1130505.563,1139502.626,1136567.063,1175840.125,1236184.251,1312471.188,1389945.876,1451815.438,1515797.313,1378513.938,1456132.688
GO,TRANSPORT AND STORAGE,60t63,24032.676,25886.813,26168.002,29584.68,32990.719,34227.676,35891.605,31136.182,34134.645,36204.742,36869.219,34793.348,38561.156,39192.434,39658.012,43231.371,45101.543,48404.867,52235.152,56627.621,59595.461,64244.148,72384.172,77171.492,82761.281,89990.039,99766.43,109360.734,110227.633,124642.633,145871.938,173044.188,198166.391,216247.719,235655.719,228913.531,237821.031,258104.422,261275.453,268954.781,286781.844,314995.094,333305.594,360118.625,354836.625,373964.25,392662.344,421636.281,445258.563,473265.875,493676.406,519541.688,544881.063,578665.75,574026.938,571436.938,604547.625,646532.813,695318.063,747641.438,781825.75,823362.0,700236.125,763696.813
GO,POST AND TELECOMMUNICATIONS,64,5160.795,6376.484,6886.44,7452.63,8306.361,10083.971,11382.174,11946.002,12930.793,13755.729,15436.527,16936.207,18162.848,19960.996,20697.783,22690.176,25154.785,27165.619,29666.139,32163.074,34897.793,38539.938,42178.25,45183.652,48735.758,54665.656,61297.359,68646.063,75618.508,86287.391,97270.141,109641.484,122487.203,136798.094,158128.969,178215.375,188256.469,199007.625,213251.422,224835.906,230363.734,247297.125,258373.656,270659.875,282114.906,296406.125,315108.188,335080.281,365044.438,398499.063,427385.094,459054.25,506907.313,551839.813,565475.688,565130.125,571292.5,589651.438,617153.125,642304.438,669989.688,692435.313,678277.813,692435.875
GO,"FINANCE, INSURANCE, REAL ESTATE AND BUSINESS SERVICES",JtK,45619.23,50400.128,53559.535,59549.206,67089.47899999999,73178.001,81247.74799999999,87159.59,94302.38399999999,101159.49399999999,107962.07200000001,113379.007,122757.34700000001,130610.613,139542.25,148842.195,156309.26200000002,170702.536,186296.09,203806.887,218851.29,239779.58500000002,263304.843,285333.203,311829.711,346542.18000000005,384861.78099999996,424749.625,470061.696,519259.48399999994,584241.625,681499.719,781102.8910000001,868314.7960000001,962982.063,1037679.094,1214652.0320000001,1351234.344,1505271.9070000001,1660864.1570000001,1815151.532,1981531.125,2130771.438,2294956.438,2416497.126,2609285.813,2784378.688,2967935.563,3180207.063,3458507.375,3768072.625,4151608.5,4539693.5,5035115.625,5202692.75,5335117.875,5634776.125,6079380.125,6648608.75,7116821.75,7562463.0,7687900.5,7544759.75,7643183.5
GO,FINANCIAL INTERMEDIATION,J,10397.205,11331.592,11759.248,13244.348,15034.795,15917.447,18408.117,20059.82,22173.418,23931.582,25220.096,25980.66,28340.203,31375.777,34539.172,36562.957,38084.688,42770.059,47089.492,51185.047,54279.891,62105.531,68210.656,73430.789,79704.375,89316.141,97359.445,109998.781,129861.945,143518.281,163883.875,195116.063,215547.766,231437.234,247145.219,271693.625,348220.563,376771.656,434155.438,487367.469,523113.094,546891.0,572145.25,610919.313,663642.688,728686.25,791398.5,819950.938,859801.813,944033.25,1028824.125,1139547.875,1273009.125,1430798.0,1448771.25,1494911.25,1612546.75,1741495.625,1921237.75,2110609.75,2247697.75,2212342.25,2219416.5,2305251.0
